ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER BOTTLED GAS,21.5503,8.0,32229.151026839994,12516.226173524461,24085.285238063865,7.956736842105263e-10,15.1178,15.1178,15.1178,15.1178,0.0,0.0,11.998422254102918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.994656420003721
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER ELECTRICITY,64.7630343,65.53999999999999,348146.1452393047,75408.1436013388,70995.85846379516,3.1749556635690234e-09,46.2649498,46.2649498,46.2649498,46.2649498,0.0,0.0,76.2284100787266,0.0,0.0,0.0,0.0,0.0,1.4437390014411715,11.846739446850455,2.472613012512228,0.0
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER FUEL OIL,0.8686642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER NONE,2.5939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER SOLAR,1.7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER UTILITY GAS,732.7994610666667,534.1700609644104,6541920.174191331,889853.2608312514,1059316.1462568173,2841.483647470252,726.1626775666667,726.1626775666667,726.1626775666667,726.1626775666667,0.0,63.775180938908,1545.854689168461,33.55734067172492,0.0,0.0,0.0,0.6714429915658031,17.454835820826165,175.70392990440854,151.84017278267964,248.48705744132397
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER BOTTLED GAS,4.8740000000000006,8.0,12293.6517072,1231.252216522968,1622.4754680882977,2.038307692307692e-10,2.6498,2.6498,2.6498,2.6498,0.0,0.0,1.9231092254645583,0.0,0.0,0.0,0.0,0.0,0.0,0.6950238815943065,0.0,0.0
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,36.7948616,23.334,226823.68401601285,35938.237948355716,18700.733049722756,1.9568834799999993e-09,13.5732348,13.5732348,8.9934,13.5732348,0.0,0.0,66.35135958468416,0.0,0.0,0.0,0.0,0.0,0.0,2.0815848285668737,0.0,3.219886133561014
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER FUEL OIL,3.1195614000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,11,11001,District of Columbia,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER NONE,1.1906594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
