ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER BOTTLED GAS,0.15740299999999927,4.386666666666665,6338.400649442001,467.31496348202097,4.4489844352122227e-10,5.2467666666666665e-11,0.15740299999999927,0.15740299999999927,0.15740299999999927,0.15740299999999927,0.0,0.0,0.0,0.0,0.0,0.2784721548140314,0.0,0.0,0.022358233871549345,0.0,0.0,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.0602383333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER NONE,0.06935633333333291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER BOTTLED GAS,6.935782,86.78,45953.72742746881,10507.270460318952,4321.7690645200355,1.980219e-09,6.661482,6.661482,6.661482,6.661482,0.0,1.2144231560019663,0.0,0.0,1.3340203620910709,0.0,0.0,1.120210471203802,0.0,0.9099274460005544,1.1653760573582475,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,16.853671,122.032,177263.9459685056,50345.96464054601,5135.12082323652,4.269404416666665e-09,14.025471,14.025471,14.025471,14.025471,0.0,6.332017135053825,0.0,0.0,0.0,2.6076008004110607,0.0,8.782113963437897,0.0,1.6598458793728004,0.8399957618136751,1.0111946488642758
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER NONE,203.96398066666666,439.9228717167872,2128959.6109965085,373390.76452976244,125055.42965139724,1.8756328872976704e-08,185.17433686666666,185.17433686666666,185.17433686666666,185.17433686666666,2.068183525155022,73.06846325408408,0.0,0.0,93.00789270442344,31.596034626001618,0.0,96.7812852531947,19.586944938756528,56.5362513522745,22.603713205839362,28.947027195729586
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER OTHER,13.522400000000001,6.0,222004.74843647997,43236.95527339262,5516.202909024,1.5238396024375336e-10,13.522400000000001,13.522400000000001,13.522400000000001,13.522400000000001,0.0,0.0,0.0,0.0,0.0,5.3262450427359544,0.0,4.951524076225047,0.0,0.0,4.83670481639866,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER SOLAR,11.8294084,27.300666666666668,546460.978770666,29943.314093902685,1498.113835642368,4.124916857142857e-10,11.5497672,11.5497672,11.5497672,11.5497672,0.0,0.0,0.0,0.0,14.193484037429796,0.0,0.0,13.621706103031862,0.0,3.021277131018522,0.0,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER UTILITY GAS,5.4084,14.0,55154.200662120005,8447.067076385503,5987.128331520001,2.0514666666666667e-10,3.0772,3.0772,3.0772,3.0772,0.0,0.0,0.0,0.0,1.3626825098757664,0.0,0.0,4.26645475227543,0.0,0.7059863516785142,0.0,0.0
HI,15,15001,Hawaii County,0-100%,OWN,OWNER 1940-59,OWNER 10-19 UNIT,OWNER BOTTLED GAS,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
