ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER BOTTLED GAS,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,1.6302957999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER FUEL OIL,58.9145476,64.01,604120.2838395425,121547.52661937082,2765.246750799569,125574.41995641917,58.9145476,58.9145476,58.9145476,58.9145476,0.0,78.6434515602819,0.0,0.0,0.0,0.0,0.0,0.0,9.606006373392976,4.094623873105455,0.0,2.07273304619078
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER OTHER,0.2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER WOOD,3.2898153999999997,22.573999999999998,53316.400647,3582.513511038573,2297.5012765121583,11426.661067571167,3.2898153999999997,3.2898153999999997,3.2898153999999997,3.2898153999999997,0.0,3.5187218718667483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7301308950162213,0.6877454926372575,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER BOTTLED GAS,25.293384,40.385999999999996,180859.11830668524,22456.1605684541,36388.539252691204,573.5408360007842,25.292583999999998,25.292583999999998,25.292583999999998,25.292583999999998,0.0,33.04072720532197,0.0,0.0,0.0,0.0,0.0,0.0,1.3432504182451317,6.012594707404098,1.277600616913063,0.5990695415609644
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,8.820806,9.0,11274.027548999999,21167.327667874644,1.847863478772647e-09,1.5865e-10,3.8076,3.8076,3.8076,3.8076,0.0,7.2392900151511075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234568513260202
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER FUEL OIL,242.8711306,130.6035859521424,2439367.722658547,344215.2930361522,16396.157675603026,128415.04992884243,238.7597306,238.7597306,238.7597306,238.7597306,3.720024365294312,404.4232816061285,0.0,4.3035589320298815,0.0,0.0,0.0,1.560953151207903,49.270640906748376,22.454983072550977,69.46035414248642,109.96406239881034
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER OTHER,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER SOLAR,1.9085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
