ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER BOTTLED GAS,8.8078196,14.872,51382.99209692552,11298.329796622646,18772.760060181423,4.889237485600794e-10,8.4389308,8.4389308,8.4389308,8.4389308,0.7849002769137143,5.039753318913422,0.0,0.3803380160378043,0.0,0.0,0.0,0.6667169795117657,0.0,0.9922837261197786,3.1334841404415217,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,1.9120247,16.351,34657.417383458655,2013.404517906095,3.651835788707447,9.130449259240487e-11,1.9120247,1.9120247,1.9120247,1.9120247,0.365587892396863,9.102033807331813,0.0,0.0286352489299075,0.0,0.0,0.0,1.082248861177316,0.1832519855656903,0.0557831009942248,1.1527287408634592,0.0094569291323709
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER FUEL OIL,0.0123794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER OTHER,0.1594124,1.436,1650.7750555284001,58.614035666148794,3.2368979544314807e-10,546.2455029785316,0.1545136,0.1545136,0.1545136,0.1545136,0.0,0.0903179102540896,0.0,0.0,0.0,0.0,0.0,0.0,0.08831492425459431,0.0,0.0,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER UTILITY GAS,10.1314998,23.353344512391477,35529.78811424949,11552.05752710251,9113.132946683392,790.5824668284831,8.8010118,8.8010118,8.8010118,8.8010118,0.9986021191292381,11.777028993972536,0.0,0.33645132336623434,0.0,0.0,0.0,0.0,0.4270579904797424,5.09145652537898,2.8061750785702415,3.8004660864155984
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER WOOD,1.6121534,9.872,11326.77590319808,1653.7467934576407,2.1546779377794403,1327.3592616108058,1.611028,1.611028,1.611028,1.611028,0.0,1.7917936285500558,0.0,0.5764759593852568,0.0,0.0,0.0,0.0,0.0,0.31743194693028576,0.26925439687028657,0.10980638931181899
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER BOTTLED GAS,18.738882599999997,14.462,132531.83468385632,13632.232235734155,17686.323603990175,6.918085277188328e-10,14.0026754,14.0026754,14.0026754,14.0026754,0.0,9.81525546882419,0.0,4.608316962732843,0.0,0.0,0.0,0.0,1.8437514838740996,5.6132707365017644,2.7321705990351526,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,1.3638558,22.308,9925.624779975318,1901.0640226641472,3.847255644630788e-09,35.5527846860227,1.2673214000000002,1.2673214000000002,1.2673214000000002,1.2673214000000002,0.0,0.7371468731874989,0.0,0.8054881830775164,0.0,0.0,0.0,0.0,0.34370960732265954,0.2116669438594162,0.0400942063272583,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER FUEL OIL,4.0260566,7.436,34677.86549702823,3093.8781591240922,7.829914225689878e-09,570.2487143942266,4.0260566,4.0260566,4.0260566,4.0260566,0.0,1.766266824351769,0.0,0.6483778296946267,0.0,0.0,0.0,0.0,0.0,1.6069655878034197,0.10888560419530449,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER OTHER,1.9827232000000001,5.1,22550.324394150004,448.349265022475,1.4721167750735362e-09,2436.4482190414733,1.902495,1.902495,1.902495,1.902495,0.0,1.9187552047669447,0.0,0.2136994914840273,0.0,0.0,0.0,0.0,0.19052924274733019,0.3260898120845841,0.0,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER UTILITY GAS,28.8932258,43.63896614703094,215304.48407839664,30376.86874344603,35798.91834013985,1342.3373590959932,27.198982,27.198982,22.452850599999998,27.198982,0.0,27.14630648304518,0.0,3.1405430739379603,0.0,0.0,0.0,0.0,0.5678487309410393,8.88672264132845,7.587689042883072,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER WOOD,13.2110548,31.408,247515.67397803877,19072.177179164762,39519.14239850565,5729.622367940911,13.1974804,13.1974804,13.1974804,13.1974804,0.0,33.001720353105156,0.0,3.6613772884176266,0.0,0.0,0.0,0.0,2.1004966363150244,2.8620327370708143,4.117595329316336,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER 10-19 UNIT,OWNER ELECTRICITY,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER BOTTLED GAS,8.8469661,11.0,56241.94804167,19070.119124759323,11461.305718298181,2.7510819123405333e-10,6.1626,6.1626,6.1626,6.1626,0.0,7.160484292530537,1.741708569346358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211267930645464,1.0811950780371424
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER ELECTRICITY,12.4391252,31.451999999999998,143358.2594553769,28942.153030098772,2104.8542452012307,818.082293402138,12.3971252,12.3971252,12.3971252,12.3971252,1.363731939585205,19.589263207774746,0.0,0.0,0.0,0.0,0.9695800875624848,0.9406392679321931,0.7095143740733839,1.4748926729865766,2.412620875998362,1.0421337704014793
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER FUEL OIL,0.2980472,2.154,2717.373500244,200.80431190991294,813.9412785787753,8.627628737893765e-11,0.23428339999999998,0.23428339999999998,0.23428339999999998,0.23428339999999998,0.0,0.0,0.0,0.1034124428847537,0.0,0.0,0.0,0.0,0.0,0.0897721587689953,0.0,0.0
NV,32,32001,Churchill County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER OTHER,1.2210657999999999,0.43799999999999994,4446.051652189441,204.97773414118046,3.186887431346233e-11,206.0734574370589,0.09244719999999981,0.09244719999999981,0.09244719999999981,0.09244719999999981,0.0,0.1078335540179496,0.0347948142840841,0.0,0.0,0.0,0.0291652689925818,0.0,0.0,0.0,0.0,0.0278497163489128
