ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER BOTTLED GAS,2.3744259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,6.9668238,4.308,89819.1060361416,19709.029021915827,1.27918362403214e-09,1.292966115384615e-10,6.7234238,6.7234238,6.7234238,6.7234238,1.3623903883468373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3649703563953626,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER FUEL OIL,65.986866,68.23554981043108,654161.0376079119,111462.66851056906,43044.09203573192,368290.65211294324,65.986866,65.986866,65.986866,65.986866,0.0,92.78471216689275,0.0,0.0,0.0,0.0,0.0,0.0,0.4985249654148351,7.911649096261598,5.206532030372612,19.993824756366195
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER UTILITY GAS,32.7953724,19.616,172542.1773292947,14469.900599783059,8879.139837988743,4651.128725803832,25.0607968,25.0607968,25.0607968,25.0607968,0.0,15.575651709405651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8220131462421488,3.85349913226985,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 2 UNIT,OWNER ELECTRICITY,0.63642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 2 UNIT,OWNER FUEL OIL,0.0028951999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 2 UNIT,OWNER UTILITY GAS,4.0238961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1940-59,OWNER 3-4 UNIT,OWNER FUEL OIL,2.3719246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1960-79,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.1513543999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,44,44001,Bristol County,0-100%,OWN,OWNER 1960-79,OWNER 1 ATTACHED,OWNER FUEL OIL,2.4516109999999998,2.872,34843.403660172,1494.7529609066628,9.441914049235962e-10,7796.199066845568,2.4516109999999998,2.4516109999999998,2.4516109999999998,2.4516109999999998,0.0,2.1750760539496286,0.0,0.0,0.0,0.0,0.0,0.0,0.986787772325199,0.0,0.0,0.0
