ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 1 ATTACHED,OWNER UTILITY GAS,0.1591219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER BOTTLED GAS,0.43744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,14.4654442,5.0,25859.13822108,9084.188734256957,10043.090636543999,2.0813870967741937e-10,12.9046,12.9046,12.9046,12.9046,0.0,8.39517167752102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6741396018892933,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER OTHER,4.3883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER UTILITY GAS,50.74718789999999,46.78310086181159,400320.5782423774,30894.96189212657,48362.559480270764,83.70501930157577,50.74718789999999,50.74718789999999,50.209935099999996,50.74718789999999,4.354494849574386,45.93325906247193,0.0,0.0,3.6574030381781237,0.0,1.5850461712693176,0.6718269263424341,0.0,2.8907752185118514,8.412106966025663,10.569549745108787
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 1 DETACHED,OWNER WOOD,4.2894406,6.0,10832.451134999998,3101.86106346572,2961.9807219048494,2361.616876879034,3.8005,3.8005,3.8005,3.8005,0.0,2.5180211885657338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2427435279601764
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 3-4 UNIT,OWNER ELECTRICITY,0.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 3-4 UNIT,OWNER NONE,1.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1940-59,OWNER 3-4 UNIT,OWNER WOOD,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER BOTTLED GAS,0.5953,1.0,213.32560788,30.04937674015133,47.90281589362077,2.31e-11,0.0231,0.0231,0.0231,0.0231,0.0,0.0,0.0,0.0030501020647084,0.0,0.0,0.0,0.0,0.0,0.0061531698536533,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,44.2866154,29.648,252794.8037065522,76891.54155533016,6.595924915702973e-09,36.199709089073714,43.6117672,43.6117672,5.5191672,43.6117672,0.0,48.93197428021286,0.0,0.0,5.478268454832794,0.0,0.0,0.0,1.0099080317592153,3.886792103204108,2.2805415000272924,3.505524673393762
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER OTHER,0.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER UTILITY GAS,27.5649332,24.580507642186515,273948.7532658171,21169.06469384536,31502.911612389733,1.9708298755246747e-09,24.5825332,24.5825332,24.5825332,24.5825332,9.209341735068941,20.6750008823654,0.0,0.0,0.0,0.0,0.0,1.7572737693808111,3.525940254099417,0.41714073300038335,2.662275122943342,8.620707231157082
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER 1 DETACHED,OWNER WOOD,3.9414739999999995,2.872,32606.568374680806,2749.5571226201573,3218.5045753488,4011.3098274171907,2.2942253999999997,2.2942253999999997,2.2942253999999997,2.2942253999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7620825618525565,0.0,0.0,0.5418452537373386,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER BOTTLED GAS,1.7201836,2.0,15936.28668456,1189.0391726308007,3217.828655305496,7.746190476190476e-11,1.6267,1.6267,1.6267,1.6267,0.0,1.0237385719301255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7319507631073627,0.0
WY,56,56001,Albany County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER ELECTRICITY,9.2281092,5.52,49538.11913551404,11783.551494220508,1509.5985845746952,2.3874453666666666e-10,3.6959092000000004,3.6959092000000004,3.6959092000000004,3.6959092000000004,0.0,3.139921312170993,0.0,0.0,0.0,0.0,0.0,0.0,0.5503668201883295,0.6351522069790694,0.0,1.0401391895252692
