"","geoid","name","population","total_race","white","black","hispanic","mean_commute","total_edu","bachelors","graduate","poverty","median_income","gini","median_rent","median_home_value","total_employed","agriculture","construction","manufacturing","retail","information","finance","data_center","n_data_centers","pair_id","group","pop_diff","treated_geoid"
"1","01069","Houston County, Alabama",107040,107040,71260,29166,3844,43430,73993,10616,4321,18878,55064,0.4833,858,164900,45708,404,378,26,2722,3066,1148,1,1,"01069","treated",NA,NA
"2","01071","Jackson County, Alabama",52618,52618,47208,1731,1685,19248,37823,3874,1843,9680,46748,0.4574,702,126900,20405,240,230,10,1491,3781,239,1,3,"01071","treated",NA,NA
"3","01073","Jefferson County, Alabama",672265,672265,338374,287203,27950,279782,457310,96805,41229,103894,63595,0.5049,1086,208900,311193,1475,627,848,15062,21053,6546,1,2,"01073","treated",NA,NA
"4","01089","Madison County, Alabama",389781,389781,254819,95400,20611,169225,267305,71617,38510,40440,78058,0.4695,1043,242900,192922,902,598,304,8907,16081,1516,1,6,"01089","treated",NA,NA
"5","04013","Maricopa County, Arizona",4430871,4430871,2954182,252690,1402753,1798118,2987215,655112,282668,503565,80675,0.4555,1437,371400,2176046,9208,6114,3094,145231,123077,38138,1,54,"04013","treated",NA,NA
"6","05119","Pulaski County, Arkansas",398322,398322,209994,148791,25329,170802,270873,59004,27515,64768,58326,0.517,985,187600,186621,760,505,255,9553,9525,3229,1,1,"05119","treated",NA,NA
"7","05145","White County, Arkansas",77118,77118,68350,3373,3606,30649,50533,6067,2953,11867,51144,0.4621,793,150700,32261,489,296,193,2406,3139,419,1,1,"05145","treated",NA,NA
"8","06001","Alameda County, California",1663823,1663823,565911,169497,369603,656859,1193888,343246,188430,149843,122488,0.4694,2229,999200,870099,1982,1714,268,40578,54662,11705,1,4,"06001","treated",NA,NA
"9","06013","Contra Costa County, California",1162648,1162648,542206,101345,306895,461941,808485,219701,95646,95255,120020,0.4713,2234,787300,573653,2625,2063,562,39110,24536,8189,1,1,"06013","treated",NA,NA
"10","06037","Los Angeles County, California",9936690,9936690,3937901,780993,4837594,4111540,6909650,1542422,568367,1343978,83411,0.4982,1805,732200,4869620,15543,13547,1996,279391,283708,97470,1,8,"06037","treated",NA,NA
"11","06055","Napa County, California",137384,137384,87333,2520,48182,59573,98232,24039,8534,10620,105809,0.4757,2037,794500,68399,2694,2677,17,3663,5799,1150,1,1,"06055","treated",NA,NA
"12","06059","Orange County, California",3175227,3175227,1594137,53753,1077367,1335750,2197677,591937,238150,303810,109361,0.468,2248,862900,1598126,7345,6249,1096,83542,123876,33726,1,2,"06059","treated",NA,NA
"13","06065","Riverside County, California",2429487,2429487,1138018,157125,1233277,951300,1594000,244893,100450,272432,84505,0.4476,1711,462900,1073342,9646,8976,670,92296,62601,20419,1,1,"06065","treated",NA,NA
"14","06067","Sacramento County, California",1579211,1579211,785699,151960,378350,618700,1077155,227553,82498,204388,84010,0.4444,1599,465900,745145,4572,4205,367,46764,29360,12705,1,5,"06067","treated",NA,NA
"15","06073","San Diego County, California",3289701,3289701,1899871,158553,1134647,1381287,2257620,564011,242010,338752,96974,0.4602,2011,725200,1574825,6639,6151,488,91233,107553,22520,1,4,"06073","treated",NA,NA
"16","06075","San Francisco County, California",851036,851036,356474,44058,131517,373511,680343,238669,111452,87849,136689,0.5172,2316,1348700,497881,445,414,31,13472,16075,4968,1,4,"06075","treated",NA,NA
